GEOID,med_income_E,is_urban,pop_dens,total_ridership
01015,23036,TRUE,73.34867056681686,3833
01073,27664,TRUE,229.27308257472947,40585
01125,24740,TRUE,60.23756513447989,10228
04003,24267,TRUE,7.907727148266428,1939
04005,24555,TRUE,2.9076976556169587,45453
04015,23184,TRUE,5.977106047721052,9065
04017,20337,FALSE,4.218035964435318,4345
04019,26451,TRUE,42.85570444794529,28183
04021,26853,TRUE,30.202557265802675,11744
04027,22860,TRUE,14.55265475698928,4525
05019,20341,FALSE,9.979395092464372,1433
05057,21099,FALSE,11.685175474074462,1650
05059,21294,FALSE,21.03721166746478,1693
05075,19896,FALSE,10.952662160477708,3421
05091,23364,TRUE,27.00773165089194,6133
05119,28813,TRUE,199.95300240778656,19406
06001,40778,TRUE,858.7567412365003,1347157
06007,22366,TRUE,53.57534801247237,10414
06013,40102,TRUE,611.1557170127622,671324
06019,23432,TRUE,63.38681792900694,377709
06029,24143,TRUE,41.927226010561505,478582
06031,25762,TRUE,41.703923143947165,215049
06037,27856,TRUE,960.8161030770553,1961337
06039,22441,TRUE,28.00604815228714,28384
06047,23332,TRUE,53.69092305800277,126793
06053,26847,TRUE,50.98589574783357,19242
06057,31043,TRUE,39.946513500213115,15251
06059,34196,TRUE,1545.3419312983974,1468789
06061,39341,TRUE,104.298247438331,75671
06065,27074,TRUE,127.68951155685755,14787
06067,31083,TRUE,604.3922226920711,1089223
06071,26233,TRUE,41.10735105959854,33951
06073,32447,TRUE,303.14790507678276,1903168
06077,27467,TRUE,203.19433363129926,322996
06079,30725,TRUE,32.94472837643016,93306
06083,27823,TRUE,62.64090153133092,537956
06085,44459,TRUE,575.2775843783578,463439
06089,26134,TRUE,18.314632533080573,9822
06093,24654,FALSE,2.6777940516935734,4654
06095,34508,TRUE,206.04115514135532,193769
06099,26339,TRUE,139.29728888707703,142784
06111,32246,TRUE,177.6637495089076,310821
06113,27969,TRUE,81.80150265483331,390060
08031,37140,TRUE,1749.866179148169,143986
08045,35681,TRUE,7.667909538813224,44430
08049,31971,FALSE,3.15058334424529,28073
08071,23086,TRUE,1.1470604360515098,5635
08077,27338,TRUE,17.397117957215606,32540
08087,26871,TRUE,8.520627749555645,3445
08089,19829,TRUE,5.6066072011478285,7373
08099,23748,TRUE,2.8401605426433543,1588
09001,39355,TRUE,583.486820164564,506489
09003,36491,TRUE,469.94789642244365,196254
09007,42219,TRUE,170.80015811288717,67501
09009,34664,TRUE,548.8658461679677,723770
09011,34843,TRUE,156.14224619777522,189128
10003,34768,TRUE,502.8037964507546,715582
11001,46436,TRUE,4329.123646204135,5197237
12011,28889,TRUE,609.3043322916719,85660
12031,29433,TRUE,468.18492155150255,66471
12055,20862,TRUE,38.777144015052734,13847
12057,29190,TRUE,521.8414077872682,108783
12086,23332,TRUE,552.4887635342709,64729
12093,22571,TRUE,20.372965712021525,3988
12095,26996,TRUE,564.6441587462327,153170
12097,22594,TRUE,98.49054278171023,35028
12099,29493,TRUE,283.4912781505933,67617
12105,25525,TRUE,143.60331424957948,39427
12107,20318,FALSE,38.61222544308441,11598
12117,31618,TRUE,568.2329062027045,224812
12127,25739,TRUE,185.02705174720612,20677
13051,27907,TRUE,259.8985333758323,53769
13121,35077,TRUE,749.2075567487909,72197
13139,27033,TRUE,192.6284950591466,5032
13257,21236,FALSE,55.34239641879258,2324
13305,21843,FALSE,17.908255165923233,9461
16017,24336,FALSE,9.50712923207175,7166
17001,29030,TRUE,29.99010939041274,37282
17011,28526,FALSE,14.830855644172926,38244
17019,27218,TRUE,81.17144602626584,160613
17029,23666,TRUE,39.29914400629036,34279
17031,31755,TRUE,2133.537826998373,3506773
17043,40431,TRUE,1098.470656929729,42104
17049,29153,FALSE,27.559056540481038,24384
17073,30053,TRUE,23.205952520861345,17354
17075,26095,FALSE,9.734139720447436,2317
17077,21219,TRUE,38.704656274065535,91264
17091,26922,TRUE,63.38117707947739,19201
17093,38872,TRUE,150.21246646147142,6442
17095,25058,TRUE,27.48599848179027,94267
17099,27997,TRUE,37.55190288821379,22276
17105,29230,TRUE,13.430021745317834,27644
17107,30080,TRUE,18.24565631313077,23581
17109,20723,TRUE,20.22523530823202,61002
17113,32318,TRUE,56.51639101019006,238626
17117,28323,FALSE,20.45668514423162,12089
17119,30478,TRUE,143.34602070345815,67225
17121,25520,TRUE,25.690535993881145,20783
17145,26383,TRUE,18.689777024614802,8309
17167,33210,TRUE,87.89259563143816,168969
17197,35981,TRUE,317.72611419266906,61182
18015,29476,FALSE,20.7394602157058,1816
18033,28458,TRUE,45.44376728388094,21866
18039,27708,TRUE,169.7257775480282,21875
18089,28633,TRUE,376.7295651363974,9046
18091,26359,TRUE,71.34284485048195,2720
18097,27826,TRUE,920.2216961856254,29431
18107,28893,FALSE,29.28669966654993,5716
18141,26575,TRUE,227.0483349289261,21260
18157,23406,TRUE,146.2303891213799,16997
19039,29722,TRUE,8.311870999475534,16188
19057,28430,TRUE,36.74304968333012,8668
19087,27780,FALSE,17.713506073140362,12584
19111,25954,TRUE,25.769818395558914,5891
19175,26563,TRUE,11.349429898714655,3745
19179,26066,TRUE,31.575135886679696,11043
20045,25292,TRUE,101.05785910829012,8362
20055,28874,TRUE,10.959705761155258,7056
20057,28260,TRUE,12.123009306749942,5289
20079,28587,TRUE,24.718210752167447,15218
20155,25787,TRUE,19.407735918246875,4415
20177,30987,TRUE,126.532656917001,9136
21019,23476,TRUE,116.14887196358528,2157
21075,19453,FALSE,11.667406476056529,3431
21089,24351,TRUE,40.096035414109984,875
21161,24074,FALSE,27.580388322123675,2024
22019,26193,TRUE,72.66492290090402,3782
22045,23751,TRUE,48.88628878475358,1602
22055,27918,TRUE,344.9680444811717,6151
22071,25461,TRUE,887.9785727995564,181544
22103,31040,TRUE,115.11270530576886,9100
22105,23519,TRUE,63.67938247167702,9350
22109,25342,TRUE,35.2894617544046,1238
23005,33767,TRUE,134.49310156557272,225020
23031,31518,FALSE,79.15321078094448,120565
24001,22529,TRUE,65.51919090618135,11019
24003,43726,TRUE,528.290453707302,756533
24025,39840,TRUE,221.74267718846718,56285
24031,47511,TRUE,817.4940734090584,5162
24033,38674,TRUE,724.8667398791657,175414
24510,28210,TRUE,2932.124103156753,1041232
25003,29556,TRUE,53.04304662899676,8270
25009,34718,TRUE,612.2162931762846,42637
25011,31001,FALSE,39.16401850369162,6575
25013,27139,TRUE,293.49358072664074,102976
25015,26779,TRUE,118.01460907780655,21939
25017,43045,TRUE,753.1115681397836,18807
25021,44378,TRUE,680.6153546735898,446221
25025,31798,TRUE,5256.7508562371995,2701957
25027,34007,TRUE,210.14717178551172,6157
26021,26478,TRUE,105.27809244809417,58198
26025,25488,TRUE,73.51725164728629,42640
26027,28012,FALSE,40.543510896446726,4975
26049,26023,TRUE,248.13311413410057,28205
26065,24689,TRUE,201.0380898127245,69359
26075,26567,TRUE,87.44426608355654,23700
26077,26911,TRUE,179.813726252545,122115
26081,29409,TRUE,293.19131992021596,40508
26087,28536,FALSE,52.96153793292815,8948
