NCESSCH,SCHNAM04,FRELCH04,REDLCH04,TOTFRL04,MEMBER04,ASIAN04,HISP04,BLACK04,WHITE04,PUPTCH04,SCHNAM06,FRELCH06,REDLCH06,TOTFRL06,MEMBER06,ASIAN06,HISP06,BLACK06,WHITE06,PUPTCH06
220084000658,STELLA WORLEY JUNIOR HIGH SCHOOL,483,60,543,677,26,17,325,300,16.3,STELLA WORLEY MIDDLE SCHOOL,336,38,374,624,14,11,421,170,17.3
220084000723,JEFFERSON COMMUNITY SCHOOL (CHARTER SCHOOL),34,5,39,45,0,2,22,21,6.4,JEFFERSON COMMUNITY SCHOOL (CHARTER SCHOOL),29,-1,32,44,0,2,29,13,6.3
220084001512,J.J. AUDUBON ELEMENTARY SCHOOL,329,54,383,467,8,154,212,92,13.2,J.J. AUDUBON ELEMENTARY SCHOOL,240,54,294,373,6,165,133,69,11.6
220084001518,WESTBANK ALTERNATIVE SCHOOL,42,3,45,75,0,1,68,6,8.3,WESTBANK COMMUNITY SCHOOL,124,10,134,190,2,2,166,19,23.8
220084001590,DECKBAR SCHOOL,48,4,52,68,0,2,49,17,3.5,DECKBAR SCHOOL,32,6,38,50,0,1,34,15,4.5
220084001660,JEFFERSON WETLANDS MARINE INSTITUTE,6,0,6,47,1,0,39,7,-1,JEFFERSON WETLANDS MARINE INSTITUTE,18,-1,19,26,0,1,21,4,-1
220084001680,PAUL J. SOLIS ELEMENTARY SCHOOL,445,90,535,896,86,61,486,258,19.6,PAUL J. SOLIS ELEMENTARY SCHOOL,418,118,536,734,57,66,444,167,15.9
220084001681,WOODMERE ELEMENTARY SCHOOL,600,66,666,801,30,26,728,15,17.6,WOODMERE ELEMENTARY SCHOOL,463,50,513,652,23,18,600,9,16.5
220084001704,CHATEAU ESTATES ELEMENTARY SCHOOL,338,90,428,694,46,98,260,288,18.3,CHATEAU ESTATES ELEMENTARY SCHOOL,263,88,351,534,28,113,187,206,14.1
220084001812,LUCILLE CHERBONNIER ELEMENTARY SCHOOL,312,38,350,432,8,9,277,137,14.6,LUCILLE CHERBONNIER ELEMENTARY SCHOOL,237,65,302,359,4,19,242,91,14.4
220084001813,JOSHUA BUTLER ELEMENTARY SCHOOL,414,47,461,527,32,24,333,137,13.2,JOSHUA BUTLER ELEMENTARY SCHOOL,325,66,391,488,35,21,307,123,14.4
220084001881,GERALDINE BOUDREAUX ELEMENTARY SCHOOL,514,97,611,747,62,65,458,153,17,GERALDINE BOUDREAUX ELEMENTARY SCHOOL,359,85,444,560,60,79,308,110,13.8
220084001882,JEAN LAFITTE ELEMENTARY SCHOOL,295,73,368,633,4,12,19,560,17.6,LEO E. KERNER JR. ELEMENTARY SCHOOL,234,73,307,562,1,8,19,511,17.6
220084001883,CONGETTA TRIPPE JANET ELEMENTARY SCHOOL,405,68,473,747,20,33,436,255,20.2,CONGETTA TRIPPE JANET ELEMENTARY SCHOOL,298,82,380,622,20,29,351,215,17.7
220084001884,HARRY S. TRUMAN MIDDLE SCHOOL,628,73,701,940,31,68,707,132,16.2,HARRY S. TRUMAN MIDDLE SCHOOL,642,116,758,965,51,89,725,99,17.6
220087000659,ACADIAN MIDDLE SCHOOL,320,56,376,517,6,6,361,144,12.5,ACADIAN MIDDLE SCHOOL,380,78,458,626,2,11,455,158,13.700000000000001
220087000660,ACADIANA HIGH SCHOOL,644,185,829,1839,20,24,510,1283,17.6,ACADIANA HIGH SCHOOL,622,153,775,1726,20,34,545,1124,16.7
220087000661,L.J. ALLEMAN MIDDLE SCHOOL,293,65,358,840,22,19,296,501,15.8,L.J. ALLEMAN MIDDLE SCHOOL,374,68,442,949,17,18,354,557,15.700000000000001
220087000662,ALICE N. BOUCHER ELEMENTARY SCHOOL,482,17,499,590,1,4,566,19,14.4,ALICE N. BOUCHER ELEMENTARY SCHOOL,585,21,606,702,3,13,654,32,15.3
220087000663,PAUL BREAUX MIDDLE SCHOOL,293,61,354,734,18,13,338,362,11.8,PAUL BREAUX MIDDLE SCHOOL,223,57,280,650,20,21,272,333,10.5
220087000664,BROADMOOR ELEMENTARY SCHOOL,176,46,222,699,37,79,145,434,14.1,BROADMOOR ELEMENTARY SCHOOL,182,41,223,680,25,85,136,432,15
220087000665,BROUSSARD MIDDLE SCHOOL,238,57,295,596,10,14,179,392,15.9,BROUSSARD MIDDLE SCHOOL,259,56,315,614,6,21,193,392,15.6
220087000666,CARENCRO MIDDLE SCHOOL,459,73,532,729,2,3,403,320,11.6,CARENCRO MIDDLE SCHOOL,407,76,483,658,4,6,401,243,11.200000000000001
220087000667,CARENCRO HEIGHTS ELEMENTARY SCHOOL,299,32,331,448,0,2,290,155,12.6,CARENCRO HEIGHTS ELEMENTARY SCHOOL,294,33,327,426,0,2,271,150,12.5
220087000668,CARENCRO HIGH SCHOOL,702,170,872,1486,5,4,671,800,16.2,CARENCRO HIGH SCHOOL,633,141,774,1446,5,10,667,764,14.8
220087000669,O. COMEAUX HIGH SCHOOL,438,125,563,1913,21,30,372,1484,19.6,O. COMEAUX HIGH SCHOOL,449,98,547,1940,28,33,419,1455,16.9
220087000670,KATHARINE DREXEL ELEMENTARY SCHOOL,282,70,352,686,7,6,263,409,15.2,KATHARINE DREXEL ELEMENTARY SCHOOL,325,64,389,709,3,9,284,413,15.5
220087000671,DUSON ELEMENTARY SCHOOL,124,25,149,259,1,0,73,185,13.9,DUSON ELEMENTARY SCHOOL,144,30,174,256,0,2,81,173,14.700000000000001
220087000672,J.W. FAULK ELEMENTARY SCHOOL,398,16,414,522,0,0,502,19,12.6,J.W. FAULK ELEMENTARY SCHOOL,395,19,414,542,0,0,530,12,14.3
220087000675,JUDICE MIDDLE SCHOOL,230,66,296,525,10,6,135,374,16.4,JUDICE MIDDLE SCHOOL,282,61,343,602,11,12,174,404,17.8
220087000676,L. LEO JUDICE ELEMENTARY SCHOOL,138,17,155,280,2,11,119,145,13.8,L. LEO JUDICE ELEMENTARY SCHOOL,140,30,170,288,3,10,129,141,16.6
220087000677,LAFAYETTE MIDDLE SCHOOL,289,28,317,412,2,2,308,99,9.9,LAFAYETTE MIDDLE SCHOOL,288,22,310,415,3,1,298,112,10
220087000678,LAFAYETTE HIGH SCHOOL,504,130,634,2188,65,43,510,1566,16.6,LAFAYETTE HIGH SCHOOL,562,104,666,2269,92,62,578,1528,16.5
220087000680,GREEN T. LINDON ELEMENTARY SCHOOL,186,85,271,627,3,7,103,511,15.4,GREEN T. LINDON ELEMENTARY SCHOOL,232,59,291,688,10,6,100,571,15.9
220087000681,EDGAR MARTIN MIDDLE SCHOOL,207,59,266,784,29,56,163,535,15,EDGAR MARTIN MIDDLE SCHOOL,220,54,274,771,32,62,172,501,14.700000000000001
220087000682,MILTON ELEMENTARY SCHOOL,135,59,194,703,4,1,55,638,15.9,MILTON ELEMENTARY SCHOOL,167,52,219,744,5,6,54,677,16.3
