NCESSCH,SCHNAM04,FRELCH04,REDLCH04,TOTFRL04,MEMBER04,ASIAN04,HISP04,BLACK04,WHITE04,PUPTCH04,SCHNAM06,FRELCH06,REDLCH06,TOTFRL06,MEMBER06,ASIAN06,HISP06,BLACK06,WHITE06,PUPTCH06
220000901779,SCENIC ALTERNATIVE HIGH SCHOOL,-1,-1,-1,124,0,0,98,26,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220000901780,RIVERSIDE ALTERNATIVE HIGH SCHOOL,-1,-1,-1,41,0,0,29,12,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220000901781,SOUTHSIDE ALTERNATIVE HIGH SCHOOL,-1,-1,-1,114,0,0,86,28,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220001701975,"LOUISIANA SCHOOL FOR MATH, SCIENCE & THE ARTS",0,0,0,348,49,8,28,256,7.8,LOUISIANA SCHOOL FOR MATH SCIENCE & THE ARTS,40,12,52,338,37,11,37,250,7.4
220001801789,LOUISIANA SCHOOL FOR THE DEAF,177,10,187,220,2,5,122,90,2.8,LOUISIANA SCHOOL FOR THE DEAF,165,14,179,212,3,6,115,87,3.2
220001900193,LOUISIANA SCHOOL FOR THE VISUALLY IMPAIRED,0,0,0,55,1,0,27,27,3.2,LOUISIANA SCHOOL FOR THE VISUALLY IMPAIRED,65,5,70,78,1,0,43,34,3.3000000000000003
220002000267,LOUISIANA SPECIAL EDUCATION CENTER,0,0,0,44,0,0,9,35,3.7,LOUISIANA SPECIAL EDUCATION CENTER,0,0,0,42,0,0,8,34,4.2
220002201922,LSU LABORATORY SCHOOL,18,14,32,951,30,25,119,774,15.5,LSU LABORATORY SCHOOL,14,19,33,1316,31,19,105,1158,17.6
220002301921,SOUTHERN UNIVERSITY LAB SCHOOL,210,98,308,470,1,0,469,0,15.2,SOUTHERN UNIVERSITY LAB SCHOOL,266,61,327,480,0,0,480,0,18
220002501000,NEW VISION LEARNING ACADEMY,196,19,215,260,0,0,260,0,13.7,NEW VISION LEARNING ACADEMY,237,48,285,333,0,0,333,0,15.4
220003000001,ARMSTRONG MIDDLE SCHOOL,279,42,321,438,0,2,170,266,17.7,ARMSTRONG MIDDLE SCHOOL,264,49,313,420,2,2,182,233,16.2
220003000002,BRANCH ELEMENTARY SCHOOL,102,27,129,238,0,0,42,196,16.4,BRANCH ELEMENTARY SCHOOL,94,33,127,240,0,0,51,189,16.6
220003000003,CENTRAL RAYNE KINDERGARTEN SCHOOL,145,14,159,197,0,1,87,109,15.6,CENTRAL RAYNE KINDERGARTEN SCHOOL,122,20,142,186,0,0,70,116,15.200000000000001
220003000004,CHURCH POINT HIGH SCHOOL,223,61,284,490,0,6,125,358,15.8,CHURCH POINT HIGH SCHOOL,218,68,286,514,0,9,137,368,16.2
220003000005,CHURCH POINT MIDDLE SCHOOL,187,29,216,270,0,4,121,144,12,CHURCH POINT MIDDLE SCHOOL,166,26,192,245,0,5,109,130,13.4
220003000006,CROWLEY HIGH SCHOOL,339,69,408,634,1,5,239,388,14.7,CROWLEY HIGH SCHOOL,358,52,410,658,3,5,264,385,15.5
220003000007,CROWLEY MIDDLE SCHOOL,440,69,509,619,3,6,287,321,13.5,CROWLEY MIDDLE SCHOOL,409,49,458,594,7,7,283,297,14.6
220003000008,CROWLEY KINDERGARTEN SCHOOL,221,22,243,286,1,4,117,164,16.9,CROWLEY KINDERGARTEN SCHOOL,227,22,249,302,0,4,125,173,17.400000000000002
220003000009,NORTH CROWLEY ELEMENTARY SCHOOL,317,36,353,421,1,3,214,203,15.4,NORTH CROWLEY ELEMENTARY SCHOOL,276,41,317,386,2,11,178,195,14.200000000000001
220003000010,EGAN ELEMENTARY SCHOOL,80,33,113,193,0,0,0,193,15.7,EGAN ELEMENTARY SCHOOL,71,33,104,199,0,0,0,199,17.5
220003000011,ESTHERWOOD ELEMENTARY SCHOOL,90,45,135,214,0,2,6,206,16.2,ESTHERWOOD ELEMENTARY SCHOOL,92,33,125,218,0,2,6,210,15.8
220003000012,EVANGELINE ELEMENTARY SCHOOL,68,19,87,179,0,0,0,179,14.4,EVANGELINE ELEMENTARY SCHOOL,72,12,84,188,0,0,0,188,16.8
220003000013,IOTA ELEMENTARY SCHOOL,178,66,244,451,0,2,27,422,17.3,IOTA ELEMENTARY SCHOOL,201,54,255,503,0,2,25,474,18.900000000000002
220003000014,IOTA HIGH SCHOOL,82,29,111,411,0,2,9,399,15.5,IOTA HIGH SCHOOL,95,38,133,438,0,8,11,418,17
220003000015,MERMENTAU ELEMENTARY SCHOOL,82,19,101,169,0,0,28,141,15.5,MERMENTAU ELEMENTARY SCHOOL,76,16,92,164,0,0,24,140,15.9
220003000016,MIDLAND HIGH SCHOOL,100,37,137,284,0,1,12,271,13.7,MIDLAND HIGH SCHOOL,98,44,142,279,0,2,9,268,14.9
220003000017,MIRE ELEMENTARY SCHOOL,196,40,236,500,3,1,31,465,17,MIRE ELEMENTARY SCHOOL,186,60,246,512,1,2,49,460,19.2
220003000018,MORSE ELEMENTARY SCHOOL,94,27,121,185,0,0,2,183,17.8,MORSE ELEMENTARY SCHOOL,90,28,118,200,0,0,1,199,17.1
220003000019,RAYNE HIGH SCHOOL,241,43,284,635,2,2,196,435,18.5,RAYNE HIGH SCHOOL,227,61,288,607,3,2,158,444,15.1
220003000020,RICHARD ELEMENTARY SCHOOL,156,53,209,304,0,0,20,284,15.9,RICHARD ELEMENTARY SCHOOL,132,47,179,298,0,0,18,280,16.1
220003000021,ROSS ELEMENTARY SCHOOL,299,27,326,371,0,8,213,149,12.9,ROSS ELEMENTARY SCHOOL,310,19,329,397,4,0,226,167,17
220003000022,SOUTH CROWLEY ELEMENTARY SCHOOL,286,39,325,374,3,0,119,252,15.2,SOUTH CROWLEY ELEMENTARY SCHOOL,269,26,295,357,2,2,131,222,14
220003000023,SOUTH RAYNE ELEMENTARY SCHOOL,202,32,234,290,2,0,131,156,15.9,SOUTH RAYNE ELEMENTARY SCHOOL,170,18,188,249,0,5,124,120,14.4
220003001015,IOTA MIDDLE SCHOOL,97,35,132,243,0,3,15,225,15.2,IOTA MIDDLE SCHOOL,74,17,91,213,0,2,10,201,16.8
220003001019,ACADIA PARISH ALTERNATIVE SCHOOL,54,13,67,88,1,0,32,55,5.6,ACADIA PARISH ALTERNATIVE SCHOOL,25,-1,28,51,0,0,16,35,7.3
220003001504,MARTIN PETITJEAN ELEMENTARY SCHOOL,285,41,326,407,1,3,195,206,15.8,MARTIN PETITJEAN ELEMENTARY SCHOOL,322,38,360,461,1,4,208,246,17.6
220003001505,CHURCH POINT ELEMENTARY SCHOOL,446,59,505,608,0,9,267,331,16.8,CHURCH POINT ELEMENTARY SCHOOL,435,54,489,600,0,9,272,319,16.4
220003201375,GLENCOE CHARTER SCHOOL,189,71,260,354,3,4,59,287,14.8,V. B. GLENCOE CHARTER SCHOOL,198,61,259,365,4,7,70,278,14
220003301485,INTERNATIONAL SCHOOL OF LOUISIANA,134,47,181,374,4,36,212,122,14.1,INTERNATIONAL SCHOOL OF LOUISIANA,99,29,128,319,5,57,151,103,12.8
220003501494,AVOYELLES PUBLIC CHARTER SCHOOL,234,120,354,535,2,1,124,390,22.8,AVOYELLES PUBLIC CHARTER SCHOOL,300,96,396,630,4,1,164,440,25.900000000000002
220003701538,EAST BATON ROUGE ARTS AND TECHNOLOGY SCHOOL,68,21,89,187,0,6,92,89,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220003801539,DELHI CHARTER SCHOOL,123,56,179,372,1,10,28,333,16.5,DELHI CHARTER SCHOOL,174,53,227,471,2,16,54,398,18.3
220003900405,NORTHWESTERN ELEMENTARY SCHOOL,288,65,353,744,6,6,280,452,17.6,NORTHWESTERN ELEMENTARY SCHOOL,245,59,304,689,6,5,274,403,14.9
220003900406,NORTHWESTERN MIDDLE SCHOOL,257,66,323,784,4,5,331,444,14.5,NORTHWESTERN MIDDLE SCHOOL,261,74,335,901,6,6,371,518,15.1
220003900449,ZACHARY ELEMENTARY SCHOOL,258,62,320,735,4,3,279,449,19.2,ZACHARY ELEMENTARY SCHOOL,180,45,225,567,5,5,221,335,17.900000000000002
220003900450,ZACHARY HIGH SCHOOL,192,58,250,967,6,3,340,616,15.8,ZACHARY HIGH SCHOOL,261,84,345,1076,3,3,435,633,14.3
220004000342,BAKER HEIGHTS ELEMENTARY SCHOOL,260,45,305,431,1,3,374,53,17.8,BAKER HEIGHTS ELEMENTARY SCHOOL,189,23,212,486,3,4,440,38,18.7
220004000343,BAKER MIDDLE SCHOOL,243,57,300,518,0,3,452,62,16.7,BAKER MIDDLE SCHOOL,295,45,340,543,0,3,498,41,16
220004000344,BAKER HIGH SCHOOL,290,73,363,630,2,2,550,76,15.4,BAKER HIGH SCHOOL,291,35,326,569,0,2,531,35,14.4
220004000345,BAKERFIELD ELEMENTARY SCHOOL,221,28,249,305,1,1,270,33,17.4,BAKERFIELD ELEMENTARY SCHOOL,165,17,182,297,2,2,264,29,14.9
220004000410,PARK RIDGE ELEMENTARY SCHOOL,248,39,287,377,1,2,319,55,17,PARK RIDGE ELEMENTARY SCHOOL,203,22,225,330,0,2,308,20,12.700000000000001
220004101630,BELLE CHASSE ACADEMY,132,199,331,918,20,62,414,420,16.1,BELLE CHASSE ACADEMY,145,177,322,798,25,56,377,337,16
220004201634,MILESTONE SABIS ACADEMY OF NEW ORLEANS,311,49,360,388,0,17,370,1,16.2,MILESTONE SABIS ACADEMY OF NEW ORLEANS,305,27,332,363,0,6,357,0,14.5
220004300860,P A CAPDAU SCHOOL,187,17,204,261,1,1,255,4,17.4,P. A. CAPDAU SCHOOL,377,15,392,447,1,0,443,3,15.4
220006000024,ELIZABETH HIGH SCHOOL,103,43,146,327,0,6,6,315,14.9,ELIZABETH HIGH SCHOOL,79,31,110,330,0,0,2,304,14
220006000025,FAIRVIEW HIGH SCHOOL,172,76,248,401,0,2,0,398,12.7,FAIRVIEW HIGH SCHOOL,124,87,211,377,0,1,0,375,12.4
220006000026,KINDER ELEMENTARY SCHOOL,323,72,395,629,8,4,160,450,15.7,KINDER ELEMENTARY SCHOOL,304,71,375,597,8,6,133,442,14.6
220006000027,KINDER HIGH SCHOOL,91,27,118,342,5,1,77,252,14.3,KINDER HIGH SCHOOL,119,25,144,331,1,3,74,242,12.700000000000001
220006000028,OAKDALE ELEMENTARY SCHOOL,411,68,479,626,5,8,178,435,13,OAKDALE ELEMENTARY SCHOOL,300,53,353,594,4,9,188,393,12.4
220006000029,OAKDALE HIGH SCHOOL,141,28,169,339,3,5,110,220,12.8,OAKDALE HIGH SCHOOL,175,38,213,357,5,8,124,212,13.700000000000001
220006000030,OAKDALE MIDDLE SCHOOL,249,37,286,418,1,11,152,253,11.9,OAKDALE MIDDLE SCHOOL,224,31,255,409,4,11,138,254,12.4
220006000031,OBERLIN ELEMENTARY SCHOOL,233,40,273,403,0,1,170,228,13.4,OBERLIN ELEMENTARY SCHOOL,279,15,294,429,4,3,163,254,14.8
220006000032,OBERLIN HIGH SCHOOL,105,32,137,245,0,1,92,150,12,OBERLIN HIGH SCHOOL,112,36,148,247,0,0,106,138,12
220006000033,REEVES HIGH SCHOOL,160,40,200,290,0,0,10,277,11.6,REEVES HIGH SCHOOL,195,33,228,328,0,0,11,314,12.1
220006001037,ALLEN PARISH ALTERNATIVE SCHOOL,5,0,5,8,0,1,4,3,2,ALLEN PARISH ALTERNATIVE SCHOOL,10,0,10,13,0,0,8,5,2.6
220006001049,KINDER MIDDLE SCHOOL,119,36,155,271,0,2,67,195,13.6,KINDER MIDDLE SCHOOL,140,33,173,291,2,2,70,212,14.6
220009000034,G. W. CARVER PRIMARY SCHOOL,360,71,431,581,0,38,268,271,14.2,G. W. CARVER PRIMARY SCHOOL,409,58,467,632,0,56,313,261,13.4
220009000035,DONALDSONVILLE ELEMENTARY SCHOOL,493,16,509,612,0,8,574,30,12.5,DONALDSONVILLE PRIMARY SCHOOL,433,7,440,648,0,12,608,28,12.700000000000001
220009000036,DONALDSONVILLE HIGH SCHOOL,524,45,569,685,2,6,620,57,11.6,DONALDSONVILLE HIGH SCHOOL,573,38,611,721,1,5,665,50,11.6
220009000037,DUTCHTOWN MIDDLE SCHOOL,202,54,256,782,7,29,151,588,17.7,DUTCHTOWN MIDDLE SCHOOL,251,70,321,1023,13,35,237,731,17.6
220009000038,EAST ASCENSION HIGH SCHOOL,263,77,340,1017,11,33,320,651,15.4,EAST ASCENSION HIGH SCHOOL,368,125,493,1139,9,61,381,686,15.4
220009000039,GALVEZ MIDDLE SCHOOL,162,64,226,714,2,11,27,672,18.1,GALVEZ MIDDLE SCHOOL,167,54,221,737,0,19,41,675,16.4
220009000040,GONZALES MIDDLE SCHOOL,326,83,409,606,2,46,273,283,16,GONZALES MIDDLE SCHOOL,305,58,363,626,4,55,316,249,14.200000000000001
220009000041,GONZALES PRIMARY SCHOOL,454,78,532,714,5,71,396,242,13.9,GONZALES PRIMARY SCHOOL,458,77,535,686,3,84,423,176,11.8
220009000042,LOWERY MIDDLE SCHOOL,269,19,288,307,0,1,278,28,13.3,LOWERY INTERMEDIATE SCHOOL,245,17,262,292,2,3,269,18,10.1
220009000044,PRAIRIEVILLE MIDDLE SCHOOL,113,40,153,614,9,17,81,505,17.1,PRAIRIEVILLE MIDDLE SCHOOL,110,46,156,686,9,33,115,526,16
220009000045,ST. AMANT MIDDLE SCHOOL,206,64,270,581,3,12,117,449,15.2,ST. AMANT MIDDLE SCHOOL,237,86,323,631,2,13,158,457,15
220009000046,ST. AMANT HIGH SCHOOL,203,64,267,1366,4,15,118,1227,17.3,ST. AMANT HIGH SCHOOL,292,73,365,1535,4,21,150,1356,15
220009000047,WEST ASCENSION ELEMENTARY SCHOOL,273,16,289,311,0,3,289,19,10.4,LOWERY ELEMENTARY SCHOOL,262,18,280,302,1,3,282,16,9.4
220009000275,ASCENSION PARISH ALTERNATIVE SCHOOL,127,8,135,180,0,3,112,64,9.5,ASCENSION PARISH ALTERNATIVE SCHOOL,152,16,168,228,0,6,144,76,9.1
220009000462,CENTRAL ELEMENTARY SCHOOL,336,103,439,996,8,73,131,784,15.3,CENTRAL ELEMENTARY SCHOOL,312,99,411,1041,4,104,125,806,14.700000000000001
220009000463,OAK GROVE PRIMARY SCHOOL,138,72,210,855,7,28,79,738,15.6,OAK GROVE PRIMARY SCHOOL,104,45,149,963,12,22,94,831,15.3
220009001501,ASCENSION HEAD START,94,0,94,97,0,1,95,1,-1,ASCENSION HEAD START,87,0,87,90,0,0,89,1,-1
220009001540,DUPLESSIS PRIMARY SCHOOL,254,55,309,830,6,18,193,609,16.1,DUPLESSIS PRIMARY SCHOOL,297,66,363,988,11,31,296,649,15.9
220009001541,DUTCHTOWN HIGH SCHOOL,144,51,195,1209,12,34,222,939,17.2,DUTCHTOWN HIGH SCHOOL,252,83,335,1563,16,62,323,1156,15
220009001862,GALVEZ PRIMARY SCHOOL,233,80,313,720,0,22,37,660,16.3,GALVEZ PRIMARY SCHOOL,266,64,330,758,2,34,62,654,15.8
220009001863,LAKE ELEMENTARY SCHOOL,243,92,335,1017,1,7,4,997,15.4,LAKE ELEMENTARY SCHOOL,212,74,286,1045,1,5,10,1027,15.6
220009001976,DUTCHTOWN PRIMARY SCHOOL,222,77,299,866,15,21,125,704,16.1,DUTCHTOWN PRIMARY SCHOOL,263,81,344,1081,22,38,210,808,16.6
220009001977,ST. AMANT PRIMARY SCHOOL,276,96,372,703,2,13,164,521,16,ST. AMANT PRIMARY SCHOOL,326,92,418,784,2,25,180,575,16
220012000048,ASSUMPTION HIGH SCHOOL,536,85,621,1172,7,9,452,704,16.2,ASSUMPTION HIGH SCHOOL,516,87,603,1203,6,8,470,719,16
220012000050,BELLE ROSE MIDDLE SCHOOL,166,12,178,212,0,2,192,18,13.9,BELLE ROSE MIDDLE SCHOOL,170,10,180,202,0,3,184,15,13
220012000051,BELLE ROSE PRIMARY SCHOOL,216,11,227,310,0,7,291,12,11.2,BELLE ROSE PRIMARY SCHOOL,218,10,228,313,0,3,303,7,12.6
220012000052,LABADIEVILLE MIDDLE SCHOOL,257,31,288,403,4,7,183,208,15.6,LABADIEVILLE MIDDLE SCHOOL,234,44,278,399,3,5,173,216,15.8
220012000053,LABADIEVILLE PRIMARY SCHOOL,284,25,309,438,0,12,264,162,12.7,LABADIEVILLE PRIMARY SCHOOL,227,32,259,366,0,13,227,126,15.1
220012000054,NAPOLEONVILLE MIDDLE SCHOOL,209,23,232,356,0,0,204,152,15.3,NAPOLEONVILLE MIDDLE SCHOOL,196,21,217,349,0,2,206,141,12.9
220012000055,NAPOLEONVILLE PRIMARY SCHOOL,192,28,220,408,0,3,243,162,13.3,NAPOLEONVILLE PRIMARY SCHOOL,189,25,214,387,0,3,224,160,13.6
220012000056,PIERRE PART MIDDLE SCHOOL,116,40,156,347,0,1,0,346,16.5,PIERRE PART ELEMENTARY SCHOOL,277,73,350,833,0,2,2,829,14.4
220012000057,PIERRE PART PRIMARY SCHOOL,163,54,217,509,0,4,2,503,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220012001696,BAYOU L`OURSE PRIMARY SCHOOL,58,19,77,176,5,3,1,167,10.9,BAYOU L'OURSE PRIMARY SCHOOL,69,12,81,165,2,8,1,150,13.4
220015000061,BUNKIE ELEMENTARY SCHOOL,448,20,468,495,1,1,339,153,17.1,BUNKIE ELEMENTARY SCHOOL,496,27,523,545,0,3,402,139,20.2
220015000062,BUNKIE MIDDLE SCHOOL,321,23,344,392,0,5,273,113,17,BUNKIE MIDDLE SCHOOL,150,5,155,174,0,1,134,39,14.1
220015000063,BUNKIE HIGH SCHOOL,293,37,330,512,0,6,213,288,20.5,BUNKIE HIGH SCHOOL,262,37,299,441,3,3,230,198,18.5
220015000064,COTTONPORT ELEMENTARY SCHOOL,319,28,347,376,0,4,218,152,12.5,COTTONPORT ELEMENTARY SCHOOL,397,36,433,452,0,2,286,159,16.6
220015000069,LAFARGUE ELEMENTARY SCHOOL,393,81,474,626,0,1,96,526,19.6,LAFARGUE ELEMENTARY SCHOOL,448,89,537,724,0,0,105,613,21.900000000000002
220015000071,MANSURA MIDDLE SCHOOL,308,39,347,408,0,2,196,206,16.3,MANSURA MIDDLE SCHOOL,210,35,245,300,0,0,139,157,19.1
220015000072,MARKSVILLE ELEMENTARY SCHOOL,548,66,614,663,10,4,363,275,16.2,MARKSVILLE ELEMENTARY SCHOOL,677,42,719,767,12,3,450,288,17
220015000073,MARKSVILLE HIGH SCHOOL,363,60,423,645,8,1,263,367,17.9,MARKSVILLE HIGH SCHOOL,331,49,380,577,8,3,236,327,17.1
220015000074,MARKSVILLE MIDDLE SCHOOL,419,58,477,581,1,4,228,344,20.8,MARKSVILLE MIDDLE SCHOOL,254,25,279,354,2,3,138,206,19.900000000000002
220015000075,AVOYELLES HIGH SCHOOL,253,67,320,490,6,2,161,316,17.5,AVOYELLES HIGH SCHOOL,294,73,367,510,2,1,210,293,19.5
220015000076,PLAUCHEVILLE ELEMENTARY SCHOOL,332,45,377,474,0,3,168,296,16.1,PLAUCHEVILLE ELEMENTARY SCHOOL,390,98,488,557,2,5,206,334,18.6
220015000077,RIVERSIDE ELEMENTARY SCHOOL,420,41,461,536,0,2,233,297,17.3,RIVERSIDE ELEMENTARY SCHOOL,490,26,516,550,0,2,284,261,17.6
220015001378,LOUISIANA SCHOOL FOR THE AGRICULTURAL SCIENCES,171,49,220,314,1,4,69,238,15.9,LOUISIANA SCHOOL FOR THE AGRICULTURAL SCIENCES,151,47,198,310,0,4,44,260,15.5
220018000079,CARVER ELEMENTARY SCHOOL,165,31,196,392,7,7,103,271,15.1,CARVER ELEMENTARY SCHOOL,197,43,240,412,5,16,115,272,14.700000000000001
220018000081,DERIDDER HIGH SCHOOL,195,35,230,782,7,17,228,526,17.1,DERIDDER HIGH SCHOOL,239,51,290,775,6,20,245,501,16.2
220018000082,DERIDDER JUNIOR HIGH SCHOOL,259,48,307,673,9,20,209,432,16,DERIDDER JUNIOR HIGH SCHOOL,252,59,311,632,10,22,202,393,15.8
220018000083,EAST BEAUREGARD HIGH SCHOOL,160,56,216,490,0,2,6,474,16.2,EAST BEAUREGARD HIGH SCHOOL,164,28,192,478,3,1,3,462,14.9
220018000085,HYATT HIGH SCHOOL,79,33,112,165,0,1,1,162,9.8,HYATT HIGH SCHOOL,97,15,112,165,0,1,3,159,9.5
220018000086,MERRYVILLE HIGH SCHOOL,223,59,282,571,1,3,60,502,13.5,MERRYVILLE HIGH SCHOOL,179,54,233,551,4,7,58,477,14.1
220018000087,PINE WOOD ELEMENTARY SCHOOL,193,44,237,438,7,13,133,281,16.4,PINE WOOD ELEMENTARY SCHOOL,190,36,226,414,8,12,123,268,16.9
220018000088,SINGER HIGH SCHOOL,144,38,182,329,0,0,1,328,12.8,SINGER HIGH SCHOOL,123,38,161,288,0,0,2,286,11.6
220018000089,SOUTH BEAUREGARD HIGH SCHOOL,176,49,225,673,0,3,10,658,16.5,SOUTH BEAUREGARD HIGH SCHOOL,187,65,252,682,1,6,10,662,16.6
220018000840,BEAUREGARD ALTERNATIVE SCHOOL,21,3,24,34,0,0,14,20,4.9,BEAUREGARD ALTERNATIVE SCHOOL,17,-1,20,35,0,0,10,23,4.7
220018001507,EAST BEAUREGARD ELEMENTARY SCHOOL,164,65,229,442,1,1,2,430,14.9,EAST BEAUREGARD ELEMENTARY SCHOOL,174,61,235,417,2,3,5,398,14
220018001508,SOUTHWEST LOUISIANA MARINE INSTITUTE,21,3,24,33,0,0,20,13,6.6,SOUTHWEST LOUISIANA MARINE INSTITUTE,25,-1,26,34,0,0,16,18,34
220018001572,K.R. HANCHEY ELEMENTARY SCHOOL,247,52,299,500,6,10,143,337,14.7,K.R. HANCHEY ELEMENTARY SCHOOL,289,51,340,540,4,17,190,326,13.5
220018001864,SOUTH BEAUREGARD ELEMENTARY SCHOOL,219,64,283,631,5,1,7,618,17.3,SOUTH BEAUREGARD ELEMENTARY SCHOOL,270,90,360,683,0,4,9,670,17.1
220021000090,ARCADIA HIGH SCHOOL,167,18,185,246,0,3,210,31,11.7,ARCADIA HIGH SCHOOL,170,18,188,246,0,3,210,32,12.9
220021000091,BIENVILLE HIGH SCHOOL,105,6,111,128,0,0,121,7,7.1,BIENVILLE HIGH SCHOOL,97,14,111,127,0,0,109,18,8.2
220021000092,CASTOR HIGH SCHOOL,172,53,225,442,0,1,68,373,14.3,CASTOR HIGH SCHOOL,173,45,218,425,0,3,57,365,13.8
220021000094,CRAWFORD ELEMENTARY SCHOOL,304,26,330,373,1,9,293,70,14.3,CRAWFORD ELEMENTARY SCHOOL,332,19,351,402,0,14,342,46,14.9
220021000095,GIBSLAND-COLEMAN HIGH SCHOOL,251,32,283,320,1,2,292,25,13.1,GIBSLAND-COLEMAN HIGH SCHOOL,221,26,247,278,1,3,262,12,12.1
220021000097,RINGGOLD ELEMENTARY SCHOOL,256,27,283,362,0,1,201,160,14.5,RINGGOLD ELEMENTARY SCHOOL,247,31,278,343,1,1,201,140,14.6
220021000098,RINGGOLD HIGH SCHOOL,183,16,199,259,0,0,168,89,11.5,RINGGOLD HIGH SCHOOL,175,13,188,257,0,0,159,97,13
220021000099,SALINE HIGH SCHOOL,104,24,128,292,0,0,78,214,13,SALINE HIGH SCHOOL,87,31,118,290,0,0,68,222,12.3
220024000102,BOGALUSA JUNIOR HIGH SCHOOL,339,31,370,436,4,3,244,185,12.9,BOGALUSA MIDDLE SCHOOL,402,34,436,490,2,5,336,147,15.200000000000001
220024000103,BOGALUSA HIGH SCHOOL,458,58,516,722,4,9,338,371,14.7,BOGALUSA HIGH SCHOOL,438,80,518,572,2,7,354,209,14.1
220024000104,BYRD AVENUE ELEMENTARY SCHOOL,202,14,216,239,4,1,134,100,16.5,BYRD AVENUE ELEMENTARY SCHOOL,275,11,286,297,2,5,167,121,17.3
220024000105,COLUMBIA STREET SCHOOL,131,25,156,206,0,1,105,100,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220024000106,DENHAMTOWN ELEMENTARY SCHOOL,137,15,152,164,0,3,95,66,21.9,DENHAMTOWN ELEMENTARY SCHOOL,112,12,124,132,0,0,95,37,17.6
220024000110,SUPERIOR AVENUE ELEMENTARY SCHOOL,213,18,231,251,2,0,149,99,15.5,SUPERIOR AVENUE ELEMENTARY SCHOOL,301,11,312,326,0,1,238,87,18
220024000111,TERRACE ELEMENTARY SCHOOL,245,15,260,288,3,2,172,111,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220024000610,NORTHSIDE SCHOOL,181,11,192,215,3,2,128,82,12.9,NORTHSIDE SCHOOL,220,6,226,238,1,5,161,71,15.8
220024001595,LONG AVENUE SCHOOL,28,1,29,34,0,0,15,19,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220024001961,PLEASANT HILL ELEMENTARY SCHOOL,306,16,322,359,3,4,215,137,14.1,PLEASANT HILL ELEMENTARY SCHOOL,330,30,360,384,0,5,249,130,15.8
220027000112,AIRLINE HIGH SCHOOL,302,52,354,1451,35,41,425,946,16.2,AIRLINE HIGH SCHOOL,293,47,340,1464,35,40,418,966,17.1
220027000113,APOLLO ELEMENTARY SCHOOL,70,20,90,926,27,9,108,781,18.9,APOLLO ELEMENTARY SCHOOL,85,28,113,990,40,14,143,792,17.3
220027000114,BELLAIRE ELEMENTARY SCHOOL,94,27,121,447,3,12,58,370,16.3,BELLAIRE ELEMENTARY SCHOOL,111,44,155,442,2,11,73,353,15.5
220027000116,BENTON ELEMENTARY SCHOOL,213,51,264,712,4,13,124,566,17.2,BENTON ELEMENTARY SCHOOL,235,56,291,848,7,19,151,667,16.1
220027000117,BENTON HIGH SCHOOL,93,31,124,620,2,8,106,502,15.5,BENTON HIGH SCHOOL,131,40,171,686,4,13,121,545,16.1
220027000118,BOSSIER ELEMENTARY SCHOOL,343,24,367,383,4,25,308,46,12.3,BOSSIER ELEMENTARY SCHOOL,317,13,330,348,1,41,256,50,11.700000000000001
220027000120,BOSSIER HIGH SCHOOL,350,65,415,741,21,37,398,283,14.6,BOSSIER HIGH SCHOOL,330,71,401,679,20,44,388,224,13.200000000000001
220027000123,CENTRAL PARK ELEMENTARY SCHOOL,315,37,352,401,4,46,251,95,13.1,CENTRAL PARK ELEMENTARY SCHOOL,362,18,380,421,4,76,255,83,14
220027000124,CURTIS ELEMENTARY SCHOOL,110,32,142,528,8,19,80,421,20.1,CURTIS ELEMENTARY SCHOOL,118,41,159,522,7,20,69,424,19.1
220027000125,ELM GROVE MIDDLE SCHOOL,162,61,223,842,11,37,149,644,20.6,ELM GROVE MIDDLE SCHOOL,176,47,223,844,11,30,143,660,19.400000000000002
220027000126,GREENACRES MIDDLE SCHOOL,232,22,254,727,17,16,272,421,19.4,GREENACRES MIDDLE SCHOOL,243,24,267,692,18,18,256,399,17.2
220027000127,HAUGHTON HIGH SCHOOL,217,50,267,1028,4,13,189,821,17.2,HAUGHTON HIGH SCHOOL,258,78,336,1016,4,16,186,809,16.7
220027000128,R. V. KERR ELEMENTARY SCHOOL,258,89,347,566,10,41,252,262,15.5,R. V. KERR ELEMENTARY SCHOOL,287,94,381,585,16,55,248,261,15
220027000129,MEADOWVIEW ELEMENTARY SCHOOL,399,54,453,557,6,21,351,178,13.4,MEADOWVIEW ELEMENTARY SCHOOL,405,53,458,557,2,45,316,194,13.3
220027000130,PARKWAY HIGH SCHOOL,131,41,172,1028,17,23,172,813,17.6,PARKWAY HIGH SCHOOL,135,54,189,1052,17,29,194,809,17.2
